epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
12,4801.75,0.24445,0.29054,0.08065,0.92005,0.90159,0.89114,0.67744,0.30766,0.30054,0.18432,9.71E-05,9.71E-05,9.71E-05
51,4462.75,0.15799,0.22804,0.05297,0.80427,0.76615,0.74631,0.39012,0.67957,0.53817,0.53103,5.05E-05,5.05E-05,5.05E-05
11,4401.8,0.24857,0.29447,0.08258,0.92052,0.90827,0.8998,0.68389,0.30607,0.29763,0.17964,9.76E-05,9.76E-05,9.76E-05
50,4060.52,0.15945,0.23019,0.05362,0.80315,0.76873,0.7485,0.39115,0.67333,0.541,0.52118,5.21E-05,5.21E-05,5.21E-05
10,4000.49,0.2518,0.29694,0.08409,0.91104,0.90482,0.88434,0.68345,0.30434,0.30384,0.18071,9.80E-05,9.80E-05,9.80E-05
49,3654.24,0.16246,0.23206,0.05409,0.79504,0.77326,0.74917,0.39261,0.66814,0.53819,0.51166,5.36E-05,5.36E-05,5.36E-05
9,3600.49,0.2596,0.30223,0.08629,0.90437,0.91236,0.88734,0.67541,0.30016,0.30266,0.1777,9.84E-05,9.84E-05,9.84E-05
48,3247.4,0.16152,0.23143,0.05416,0.8043,0.78239,0.76006,0.39789,0.65756,0.53057,0.49997,5.52E-05,5.52E-05,5.52E-05
8,3200.93,0.26484,0.3053,0.08875,0.91997,0.91107,0.90562,0.69095,0.29829,0.30091,0.17491,9.88E-05,9.88E-05,9.88E-05
47,2841.73,0.16289,0.23365,0.05485,0.80708,0.79845,0.771,0.40393,0.64954,0.5293,0.49897,5.67E-05,5.67E-05,5.67E-05
7,2802.97,0.27174,0.30778,0.09183,0.93123,0.91882,0.92064,0.69863,0.28906,0.29061,0.15802,9.91E-05,9.91E-05,9.91E-05
46,2435.85,0.16368,0.23385,0.05494,0.81747,0.81638,0.78844,0.41756,0.62971,0.52321,0.49121,5.82E-05,5.82E-05,5.82E-05
6,2406.73,0.28046,0.315,0.09473,0.91633,0.92334,0.90608,0.69281,0.29612,0.29689,0.16579,9.94E-05,9.94E-05,9.94E-05
45,2029.78,0.16401,0.23507,0.05524,0.8331,0.83258,0.80585,0.45117,0.57982,0.47672,0.43568,5.98E-05,5.98E-05,5.98E-05
5,2009.71,0.28927,0.32211,0.09803,0.92878,0.91322,0.91748,0.70045,0.29227,0.28795,0.16868,9.96E-05,9.96E-05,9.96E-05
44,1623.61,0.16485,0.23511,0.05512,0.86,0.85423,0.83354,0.51202,0.5084,0.41769,0.36271,6.13E-05,6.13E-05,6.13E-05
4,1612.61,0.30776,0.33554,0.10518,0.90184,0.91667,0.89092,0.682,0.2948,0.29536,0.17289,9.98E-05,9.98E-05,9.98E-05
43,1218.87,0.16616,0.23726,0.0559,0.88828,0.87472,0.8573,0.559,0.45924,0.39728,0.31734,6.28E-05,6.28E-05,6.28E-05
3,1214.06,0.3478,0.37221,0.12244,0.92412,0.91635,0.91918,0.69722,0.27995,0.30816,0.15028,9.99E-05,9.99E-05,0.000138759
2,815.823,0.51056,0.43579,0.17452,0.85941,0.90064,0.85843,0.65534,0.31093,0.32928,0.18572,6.66E-05,6.66E-05,0.0334388
42,813.003,0.17067,0.24464,0.05757,0.91162,0.89664,0.889,0.62356,0.36915,0.34573,0.22975,6.43E-05,6.43E-05,6.43E-05
1,416.936,0.54385,1.15784,0.21862,0.67883,0.6686,0.64693,0.47046,0.34539,0.63343,0.22897,3.33E-05,3.33E-05,0.0667389
41,407.35,0.29413,0.40694,0.16503,0.91327,0.89858,0.89145,0.66585,0.32443,0.30605,0.18068,6.58E-05,6.58E-05,6.58E-05
,6.705694444,,,,,,,,,,,,,
