epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2539.32,0.8246,0.31825,1.00648,0.9133,0.87059,0.8876,0.6845,1.29285,0.63577,1.39431,0.00582435,0.00582435,0.00582435
21,1165.18,0.93275,0.38699,1.05242,0.90132,0.87021,0.89631,0.67511,1.28089,0.58166,1.33617,0.00905463,0.00905463,0.00905463
77,4238.03,0.73396,0.27318,0.96495,0.91123,0.87017,0.89092,0.68019,1.32027,0.65816,1.43603,0.00144161,0.00144161,0.00144161
13,725.546,0.99421,0.43274,1.08525,0.87576,0.87016,0.87487,0.65968,1.30856,0.65734,1.34237,0.00965239,0.00965239,0.00965239
15,835.434,0.97513,0.41723,1.07819,0.89017,0.87016,0.89333,0.67532,1.2725,0.61132,1.35564,0.00952889,0.00952889,0.00952889
76,4183.24,0.73639,0.27203,0.96885,0.90862,0.8694,0.88889,0.68023,1.31844,0.66822,1.43434,0.00154982,0.00154982,0.00154982
10,560.516,1.02291,0.46131,1.10241,0.87595,0.86856,0.87388,0.64972,1.32853,0.63659,1.39295,0.00980345,0.00980345,0.00980345
35,1934.31,0.86681,0.33907,1.0194,0.89986,0.86671,0.88246,0.67706,1.27895,0.65417,1.35195,0.00743468,0.00743468,0.00743468
23,1275.02,0.92656,0.38135,1.044,0.8993,0.86504,0.88666,0.67478,1.26837,0.61774,1.33832,0.00886404,0.00886404,0.00886404
20,1110.36,0.94484,0.39086,1.05648,0.88946,0.86428,0.87824,0.66276,1.29055,0.63279,1.36698,0.00914405,0.00914405,0.00914405
9,505.638,1.04389,0.48338,1.11231,0.88498,0.86348,0.88222,0.6623,1.28146,0.64315,1.33708,0.00984449,0.00984449,0.00984449
19,1055.3,0.94836,0.38989,1.05513,0.90984,0.86348,0.90002,0.68486,1.26928,0.64803,1.33368,0.00922942,0.00922942,0.00922942
14,780.474,0.98685,0.4244,1.0793,0.89729,0.86252,0.88766,0.67148,1.26225,0.65729,1.34821,0.00959289,0.00959289,0.00959289
11,615.452,1.01518,0.45579,1.09907,0.89334,0.86206,0.88845,0.65903,1.30413,0.64985,1.38316,0.00975773,0.00975773,0.00975773
39,2154.47,0.85285,0.33275,1.01584,0.91174,0.86047,0.88161,0.67672,1.29642,0.61465,1.39258,0.00687222,0.00687222,0.00687222
25,1384.79,0.91063,0.37281,1.04127,0.89787,0.85595,0.88526,0.67986,1.28577,0.62785,1.35302,0.00865839,0.00865839,0.00865839
8,450.784,1.05739,0.50243,1.12013,0.8917,0.85164,0.88083,0.64441,1.31123,0.67092,1.38668,0.00988079,0.00988079,0.00988079
7,396.276,1.06986,0.51711,1.1274,0.81974,0.84884,0.87746,0.64728,1.34561,0.73358,1.39512,0.00991232,0.00991232,0.00991232
6,341.472,1.09525,0.54489,1.13584,0.86137,0.83366,0.87232,0.65395,1.30013,0.73033,1.34268,0.00993906,0.00993906,0.00993906
5,286.608,1.13119,0.59012,1.15369,0.70944,0.81741,0.80056,0.57157,1.42919,1.33948,1.50337,0.00996097,0.00996097,0.00996097
4,232.21,1.16333,0.65193,1.16921,0.77073,0.69585,0.79106,0.57706,1.41757,1.6043,1.43413,0.00997803,0.00997803,0.00997803
3,177.771,1.20331,0.72956,1.18484,0.58327,0.65899,0.61454,0.39108,1.59651,1.92944,1.68534,0.00997252,0.00997252,0.0101498
1,68.5929,1.23876,1.3222,1.20905,0.53238,0.42509,0.44935,0.31919,1.53935,2.8267,1.66558,0.0033156,0.0033156,0.0701596
2,123.043,1.23189,0.81635,1.19725,0.18609,0.21031,0.11188,0.02909,2.97504,5.09953,4.48769,0.00664731,0.00664731,0.040158
,1.53,,,,,,,,,,,,,
